Client Number,Attrition Flag,Customer Age,Gender,Dependent Count,Education Level,Marital Status,Income Category,Card Category,Months on Book,Total Relationship Count,Months Inactive (Last 12 Months),Contacts Count (Last 12 Months),Credit Limit,Total Revolving Balance,Average Open to Buy,Total Amount Change (Q4 vs Q1),Total Transaction Amount,Total Transaction Count,Total Transaction Count Change (Q4 vs Q1),Average Utilization Ratio,Age Group,Tenure Years,Avg Transaction Value,Utilization Tier
708790833,Existing Customer,42,Male,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,Adult,2.58,28.6,Low
710821833,Existing Customer,65,Male,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,Senior,4.5,50.54,Low
710599683,Existing Customer,56,Male,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,Middle-Aged,3.0,90.53,Low
816082233,Existing Customer,35,Male,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,Adult,2.5,39.73,Low
712396908,Existing Customer,57,Female,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,Middle-Aged,4.0,54.14,Low
714885258,Existing Customer,44,Male,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,Adult,3.08,49.93,Low
709967358,Existing Customer,48,Male,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,Middle-Aged,3.0,61.89,Low
753327333,Existing Customer,41,Male,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,Adult,2.83,48.95,Low
806160108,Existing Customer,61,Male,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,Senior,4.67,44.53,High
709327383,Existing Customer,45,Female,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,Adult,3.08,57.48,Low
806165208,Existing Customer,47,Male,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,Middle-Aged,3.5,43.63,Low
708508758,Attrited Customer,62,Female,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,Senior,4.08,43.25,Low
784725333,Existing Customer,41,Male,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,Adult,2.75,51.72,Low
811604133,Existing Customer,47,Female,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,Middle-Aged,3.0,48.96,Moderate
789124683,Existing Customer,54,Male,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,Middle-Aged,3.5,52.86,Low
771071958,Existing Customer,41,Female,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,Adult,2.33,47.77,Low
720466383,Existing Customer,59,Male,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,Middle-Aged,3.83,52.04,Low
804424383,Existing Customer,63,Male,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,Senior,4.67,47.6,Low
718813833,Existing Customer,44,Female,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,Adult,2.83,58.44,Low
806624208,Existing Customer,47,Male,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,Middle-Aged,3.5,27.5,Low
778348233,Existing Customer,53,Male,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,Middle-Aged,2.75,41.52,Moderate
712991808,Existing Customer,53,Male,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,Middle-Aged,4.0,61.38,Moderate
709029408,Existing Customer,41,Male,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,Adult,3.0,66.21,Low
788658483,Existing Customer,53,Female,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,Middle-Aged,3.17,50.39,Moderate
787937058,Existing Customer,58,Male,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,Middle-Aged,4.08,53.79,Low
715318008,Existing Customer,55,Female,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,Middle-Aged,3.0,32.72,Moderate
713962233,Existing Customer,55,Female,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,Middle-Aged,3.0,50.73,High
785432733,Existing Customer,42,Female,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,Adult,3.0,43.91,Low
715190283,Existing Customer,57,Female,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,Middle-Aged,4.08,52.29,Low
708300483,Attrited Customer,66,Female,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,Senior,4.67,44.0,Low
827111283,Existing Customer,45,Male,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,Adult,3.42,39.61,Low
758551608,Existing Customer,51,Male,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,Middle-Aged,3.67,48.11,Moderate
773146383,Existing Customer,50,Female,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,Middle-Aged,3.58,53.21,Low
778493808,Existing Customer,49,Male,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,Middle-Aged,3.08,54.88,Low
720572508,Existing Customer,38,Female,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,Adult,2.33,45.3,Low
712661433,Existing Customer,49,Male,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,Middle-Aged,2.5,51.57,Low
789172683,Existing Customer,56,Male,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,Middle-Aged,3.75,64.48,Moderate
738406533,Existing Customer,59,Male,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,Middle-Aged,4.33,63.67,High
799723908,Existing Customer,46,Male,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,Middle-Aged,3.33,45.07,Low
771490833,Existing Customer,52,Male,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,Middle-Aged,3.33,28.5,Low
720756708,Existing Customer,52,Female,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,Middle-Aged,3.42,62.6,Moderate
779471883,Attrited Customer,54,Female,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,Middle-Aged,3.33,37.11,Moderate
711525033,Existing Customer,66,Female,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,Senior,4.5,51.21,Moderate
712813458,Existing Customer,49,Male,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,Middle-Aged,3.0,40.4,Low
714374133,Attrited Customer,56,Male,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,Middle-Aged,3.0,40.13,Low
717891558,Existing Customer,49,Female,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,Middle-Aged,3.0,32.88,Moderate
716632758,Existing Customer,49,Female,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,Middle-Aged,3.0,32.38,High
768563658,Existing Customer,56,Male,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,Middle-Aged,4.17,49.1,Moderate
711427458,Existing Customer,44,Female,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,Adult,2.92,54.36,Low
714091983,Existing Customer,42,Male,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,Adult,2.83,43.26,Moderate
787584108,Existing Customer,55,Male,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,Middle-Aged,3.92,33.24,Moderate
712030833,Attrited Customer,48,Male,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,Middle-Aged,2.92,46.07,Low
711481533,Existing Customer,39,Male,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,Adult,2.75,47.0,Low
710082708,Existing Customer,44,Male,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,Adult,2.67,49.08,Low
708155733,Existing Customer,53,Male,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,Middle-Aged,3.67,56.04,Low
788979258,Existing Customer,51,Male,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,Middle-Aged,3.17,40.41,Low
807986133,Existing Customer,57,Male,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,Middle-Aged,4.33,38.66,Low
788730933,Existing Customer,44,Female,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,Adult,1.67,40.43,High
711314058,Existing Customer,49,Male,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,Middle-Aged,2.67,98.24,Moderate
717975333,Existing Customer,50,Male,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,Middle-Aged,3.17,55.8,Low
715971108,Existing Customer,51,Male,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,Middle-Aged,3.5,37.8,Low
720096558,Existing Customer,55,Female,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,Middle-Aged,3.5,42.78,Moderate
719580033,Existing Customer,54,Male,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,Middle-Aged,3.58,59.81,Moderate
820582308,Existing Customer,42,Male,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,Adult,3.08,39.83,Low
789973308,Existing Customer,44,Male,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,Adult,2.92,55.88,Low
712876233,Existing Customer,53,Male,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,Middle-Aged,3.0,39.06,Low
804595158,Existing Customer,44,Female,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,Adult,3.0,48.35,Moderate
714826758,Existing Customer,37,Female,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,Adult,2.42,41.04,Low
779058108,Existing Customer,49,Male,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,Middle-Aged,2.5,63.83,High
710790258,Existing Customer,47,Male,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,Middle-Aged,3.17,38.11,Low
715623483,Existing Customer,47,Male,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,Middle-Aged,3.08,35.54,Low
715156383,Existing Customer,44,Male,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,Adult,3.0,55.28,Low
711013983,Attrited Customer,55,Female,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,Middle-Aged,3.75,51.25,Low
755420433,Existing Customer,59,Female,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,Middle-Aged,4.33,53.4,Low
794543958,Existing Customer,53,Male,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,Middle-Aged,2.92,58.89,Low
716396358,Existing Customer,52,Male,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,Middle-Aged,3.92,43.74,Moderate
715398033,Existing Customer,53,Male,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,Middle-Aged,2.92,39.1,Low
711743883,Existing Customer,43,Female,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,Adult,2.92,38.66,Low
719720058,Existing Customer,44,Male,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,Adult,2.58,100.93,Low
778992108,Existing Customer,57,Male,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,Middle-Aged,3.75,52.28,Low
717539808,Existing Customer,51,Female,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333,0.0,Middle-Aged,3.0,60.76,Low
714070758,Existing Customer,49,Male,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062,Middle-Aged,3.17,44.69,Low
714107958,Existing Customer,45,Male,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0,Adult,3.0,43.09,Low
789140283,Existing Customer,53,Male,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933,0.765,Middle-Aged,3.5,44.34,High
715550508,Existing Customer,45,Female,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535.0,2440,95.0,1.705,1312,20,1.222,0.963,Adult,2.33,65.6,High
719712633,Existing Customer,64,Male,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0,895,814.0,1.656,1673,32,0.882,0.524,Senior,4.33,52.28,Moderate
772629333,Existing Customer,45,Male,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347,Adult,2.92,43.77,Moderate
720336708,Existing Customer,53,Male,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45,Middle-Aged,2.92,38.31,Moderate
802013583,Existing Customer,56,Male,3,College,Married,$120K +,Blue,50,3,2,0,9689.0,2250,7439.0,0.576,1158,19,0.727,0.232,Middle-Aged,4.17,60.95,Low
711887583,Attrited Customer,47,Male,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,Middle-Aged,3.08,46.44,Low
714778833,Existing Customer,49,Female,3,College,Single,Unknown,Blue,43,4,4,0,23032.0,1960,21072.0,0.619,1289,22,1.0,0.085,Middle-Aged,3.58,58.59,Low
713843283,Existing Customer,41,Female,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516.0,2053,32463.0,1.034,1487,26,0.733,0.059,Adult,2.83,57.19,Low
779155158,Existing Customer,53,Male,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,1264,1676.0,0.562,1259,33,0.5,0.43,Middle-Aged,2.83,38.15,Moderate
721091583,Existing Customer,44,Female,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5,0.62,Adult,2.67,86.53,Moderate
713572683,Existing Customer,44,Male,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862.0,0,1862.0,0.883,1226,34,0.789,0.0,Adult,2.08,36.06,Low
716657058,Existing Customer,43,Female,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0,926,7432.0,0.762,1566,37,0.542,0.111,Adult,2.75,42.32,Low
779509983,Existing Customer,53,Male,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516.0,931,33585.0,0.828,1022,21,1.1,0.027,Middle-Aged,3.0,48.67,Low
717929133,Existing Customer,44,Male,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450.0,2440,12010.0,1.283,1235,30,0.667,0.169,Adult,3.0,41.17,Low
808284783,Existing Customer,62,Female,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0.0,Senior,4.67,44.34,Low
708476808,Existing Customer,54,Male,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791.0,1960,31831.0,0.618,1047,31,0.824,0.058,Middle-Aged,3.0,33.77,Low
710916408,Existing Customer,57,Male,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466.0,1886,6580.0,0.56,1342,32,0.391,0.223,Middle-Aged,3.25,41.94,Low
708492558,Existing Customer,42,Male,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088.0,865,14223.0,0.939,1107,21,1.625,0.057,Adult,3.0,52.71,Low
799825758,Existing Customer,42,Male,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0,1674,1589.0,0.588,1251,35,0.346,0.513,Adult,3.0,35.74,Moderate
718619883,Existing Customer,54,Female,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494.0,706,788.0,1.674,1305,24,3.0,0.473,Middle-Aged,3.0,54.38,Moderate
711844758,Existing Customer,48,Male,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551.0,1294,12257.0,0.791,1388,37,1.056,0.095,Middle-Aged,2.92,37.51,Low
714798783,Existing Customer,49,Male,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886.0,895,17991.0,1.826,1235,18,1.571,0.047,Middle-Aged,3.0,68.61,Low
826762908,Existing Customer,52,Male,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976.0,1273,10703.0,1.024,2089,36,1.118,0.106,Middle-Aged,4.0,58.03,Low
771894558,Existing Customer,50,Male,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964.0,1559,8405.0,1.873,1626,25,0.786,0.156,Middle-Aged,3.25,65.04,Low
721074183,Existing Customer,49,Male,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159.0,1196,22963.0,0.712,1111,24,1.0,0.05,Middle-Aged,3.0,46.29,Low
715259583,Existing Customer,53,Female,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362.0,1901,3461.0,0.816,1553,38,1.0,0.355,Middle-Aged,3.67,40.87,Moderate
718414008,Existing Customer,50,Male,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516.0,1023,33493.0,1.004,1064,13,0.625,0.03,Middle-Aged,3.0,81.85,Low
719666283,Existing Customer,55,Female,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174.0,1951,1223.0,0.766,1243,29,0.611,0.615,Middle-Aged,3.0,42.86,Moderate
714877233,Existing Customer,53,Male,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262.0,1836,10426.0,1.584,1659,38,1.533,0.15,Middle-Aged,3.92,43.66,Low
785387883,Existing Customer,47,Female,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788.0,1540,2248.0,0.566,1594,47,0.382,0.407,Middle-Aged,3.42,33.91,Moderate
771075258,Existing Customer,55,Male,2,College,Single,$120K +,Silver,42,2,3,2,34516.0,1527,32989.0,0.526,1268,42,0.355,0.044,Middle-Aged,3.5,30.19,Low
711318033,Existing Customer,47,Male,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926.0,0,2926.0,0.676,1304,24,0.846,0.0,Middle-Aged,3.0,54.33,Low
783554958,Existing Customer,58,Male,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090.0,0,32090.0,0.567,1368,30,0.364,0.0,Middle-Aged,4.33,45.6,Low
720201033,Attrited Customer,53,Male,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669.0,2227,9442.0,0.622,720,23,0.353,0.191,Middle-Aged,3.42,31.3,Low
718039683,Existing Customer,52,Male,2,High School,Single,$40K - $60K,Blue,45,3,1,2,13532.0,1300,12232.0,0.846,1521,29,1.417,0.096,Middle-Aged,3.75,52.45,Low
710806083,Existing Customer,50,Female,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,11888.0,2090,9798.0,0.7,1137,30,0.765,0.176,Middle-Aged,3.0,37.9,Low
714752208,Existing Customer,42,Female,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393.0,1985,408.0,0.788,978,16,0.778,0.83,Adult,3.0,61.12,High
822063408,Existing Customer,43,Male,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111.0,2517,3594.0,0.632,1221,16,2.2,0.412,Adult,3.25,76.31,Moderate
714490308,Existing Customer,57,Male,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270.0,1662,17608.0,1.186,1565,28,1.545,0.086,Middle-Aged,3.83,55.89,Low
713356833,Existing Customer,52,Male,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710.0,2517,1193.0,1.541,1578,34,0.7,0.678,Middle-Aged,3.58,46.41,Moderate
711402333,Existing Customer,47,Male,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235.0,797,2438.0,0.541,1493,32,1.0,0.246,Middle-Aged,3.08,46.66,Low
708296883,Existing Customer,44,Female,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749.0,788,10961.0,0.688,1178,27,0.929,0.067,Adult,3.17,43.63,Low
719154483,Existing Customer,53,Male,2,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753.0,2100,5653.0,0.839,991,26,0.733,0.271,Middle-Aged,3.0,38.12,Low
717721458,Existing Customer,45,Male,4,College,Divorced,$60K - $80K,Blue,40,5,1,0,10408.0,1186,9222.0,1.689,2560,42,1.211,0.114,Adult,3.33,60.95,Low
711112683,Existing Customer,63,Female,1,College,Married,Unknown,Blue,36,6,2,3,3967.0,1568,2399.0,1.236,1657,29,1.231,0.395,Senior,3.0,57.14,Moderate
715674483,Existing Customer,39,Female,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,2,6205.0,2517,3688.0,0.939,1204,19,0.727,0.406,Adult,2.25,63.37,Moderate
789322833,Attrited Customer,48,Female,5,High School,Married,Less than $40K,Blue,38,1,3,3,8025.0,0,8025.0,0.654,673,18,0.8,0.0,Middle-Aged,3.17,37.39,Low
789968058,Existing Customer,51,Male,1,Unknown,Single,$120K +,Blue,42,6,2,3,9036.0,2327,6709.0,0.649,1131,18,0.636,0.258,Middle-Aged,3.5,62.83,Low
709919283,Existing Customer,54,Male,4,Graduate,Married,$80K - $120K,Blue,34,2,3,2,14926.0,2517,12409.0,1.996,1576,25,1.5,0.169,Middle-Aged,2.83,63.04,Low
718744008,Existing Customer,59,Female,1,Graduate,Single,Less than $40K,Blue,36,3,2,3,6335.0,1128,5207.0,0.397,1217,20,0.667,0.178,Middle-Aged,3.0,60.85,Low
767712558,Attrited Customer,59,Male,1,College,Single,$60K - $80K,Blue,53,2,3,3,14979.0,0,14979.0,0.71,530,10,1.0,0.0,Middle-Aged,4.42,53.0,Low
712950783,Attrited Customer,48,Female,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732.0,0,2732.0,0.76,739,16,0.455,0.0,Middle-Aged,3.17,46.19,Low
